,person,label,most_frequent_event,count_most_frequent_event,less_frequent_event,count_less_frequent_event,ad campaign hit,brand listing,checkout,conversion,generic listing,lead,search engine hit,searched products,staticpage,viewed product,visited site,mean_per_event
0,0566e9c1,0,viewed product,23,checkout,1,6.0,3.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,23.0,17.0,7.555555555555555
1,6ec7ee77,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,abe7a2fb,0,viewed product,31,checkout,1,9.0,14.0,1.0,0.0,9.0,0.0,4.0,6.0,0.0,31.0,22.0,12.0
3,34728364,0,viewed product,24,search engine hit,1,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,24.0,4.0,7.4
4,87ed62de,0,viewed product,9,visited site,1,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.25
5,db2c4d27,1,generic listing,166,conversion,1,3.0,31.0,3.0,1.0,166.0,0.0,92.0,13.0,20.0,121.0,114.0,56.4
6,cde431db,0,viewed product,8,brand listing,1,2.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,3.0,2.6666666666666665
7,be65035b,0,searched products,3,generic listing,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,2.6666666666666665
8,a4178891,0,ad campaign hit,4,checkout,1,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.2
9,d066f64c,0,viewed product,12,checkout,1,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,1.0,3.142857142857143
10,47a783b9,0,viewed product,31,checkout,1,18.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,31.0,6.0,10.166666666666666
11,7fc00648,0,viewed product,105,searched products,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,105.0,3.0,16.714285714285715
12,ce16abb3,0,ad campaign hit,6,checkout,1,6.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,2.857142857142857
13,4b38d082,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
14,0566e256,0,viewed product,5,brand listing,1,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,5.0,1.0,2.0
15,e0ffa75e,0,checkout,1,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
16,79ed8b5b,0,viewed product,16,brand listing,1,14.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,8.4
17,20f4c917,0,searched products,4,checkout,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0
18,c4af15f2,0,viewed product,4,checkout,1,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2.2
19,de1a55e7,0,checkout,3,ad campaign hit,1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6666666666666667
20,57bab525,0,viewed product,46,checkout,1,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,46.0,4.0,7.625
21,16426a08,0,ad campaign hit,4,checkout,1,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.6
22,111ac3c5,0,viewed product,4,ad campaign hit,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.5
23,8f73daae,0,viewed product,100,brand listing,6,55.0,6.0,11.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,34.0,37.666666666666664
24,001ca5ee,0,viewed product,52,checkout,1,7.0,7.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,52.0,15.0,13.714285714285714
25,8123457d,1,viewed product,9,brand listing,2,4.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,3.0,4.166666666666667
26,6b78331f,0,viewed product,10,checkout,1,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,4.166666666666667
27,6421d9fe,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
28,d343d6ee,0,viewed product,40,ad campaign hit,2,2.0,0.0,3.0,0.0,2.0,0.0,2.0,23.0,0.0,40.0,3.0,10.714285714285714
29,835621ad,0,viewed product,61,ad campaign hit,2,2.0,2.0,2.0,0.0,21.0,0.0,0.0,0.0,2.0,61.0,24.0,16.285714285714285
30,124936a3,0,checkout,8,visited site,4,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
31,dfdd12ba,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
32,bed17613,0,ad campaign hit,10,checkout,1,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,4.5
33,16fe7a20,0,visited site,16,brand listing,2,11.0,2.0,2.0,4.0,5.0,0.0,4.0,9.0,0.0,13.0,16.0,7.333333333333333
34,c6adf2a2,0,ad campaign hit,4,checkout,1,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.6
